population,short.description,year,group,total,flag_for_publishing,total.low.CI,total.high.CI,male,male_flag_for_publishing,male.low.CI,male.high.CI,female,female_flag_for_publishing,female.low.CI,female.high.CI,estimated.number,estimated.number.low.CI,estimated.number.high.CI
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2016,Māori,9.5,,7.3,12.1,10.8,,7.7,14.4,8.2,,5.2,12.2,21000,16000,26000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2021,Māori,13.1,,9.2,18,16.3,,9.9,24.7,9.6,,5.8,14.9,31000,21000,41000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2016,Pacific,6.8,,4.3,10.1,7.3,,4,12.2,6.3,,3.2,10.9,8000,5000,11000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2021,Pacific,10.5,e,4.4,20.1,12.9,e,3.8,29.4,7.7,e,1.6,21.3,8000,2000,14000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2016,Asian,4.2,e,2,7.9,5.8,e,2.2,12,2.7,e,0.8,6.4,5000,2000,8000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2021,Asian,2.3,e,0.7,5.4,3.5,e,0.8,9.4,NA,S,NA,NA,4000,0,7000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2016,European/Other,8,,6.4,9.8,8.8,,6.3,11.8,7,,5.1,9.4,45000,35000,54000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2021,European/Other,9.7,,7.5,12.4,10.8,,7.4,15.1,8.6,,5.4,12.7,60000,45000,74000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2016,Quintile 1,6.6,,3.9,10.3,5.5,e,2.4,10.4,7.7,e,3.7,13.9,10000,6000,15000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2016,Quintile 2,7.4,,4.3,11.9,9.7,,4.9,16.7,4.6,e,1.8,9.4,11000,6000,16000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2016,Quintile 3,6.4,,4.5,8.9,6.4,,3.9,9.7,6.5,,3.4,11,10000,6000,13000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2016,Quintile 4,7.5,,5.1,10.5,9.4,,5.4,15,5.8,,3.1,9.6,11000,7000,15000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2016,Quintile 5,8,,6.3,10,9.7,,7,13,6.1,,4.2,8.6,15000,11000,18000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2021,Quintile 1,4.6,e,2,9.1,3.2,e,0.5,10.4,6.3,e,1.8,15.1,9000,3000,15000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2021,Quintile 2,11.3,,5.9,19.2,14,e,6.2,25.9,8.6,e,2.4,20.6,17000,8000,26000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2021,Quintile 3,8.8,,4.3,15.5,9.4,e,3.8,18.5,7.8,e,1.4,22.7,14000,6000,23000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2021,Quintile 4,8.9,,5.1,14.3,7.5,e,3.1,14.7,10,e,4.8,17.9,14000,7000,21000
children,"Consulted family, whānau and/or friends for mental health in past 12 months (2-14)",2021,Quintile 5,10.7,,7,15.4,14.2,,8.7,21.5,6.6,e,3.2,11.7,19000,12000,27000
adults,Dental health care worker visit,2021,Total,48.9,,46.9,51,45.2,,42.4,48.1,52.5,,49.8,55.2,1948000,1866000,2031000
adults,Dental health care worker visit,2021,15-24,51.2,,44.1,58.3,49.3,,40.3,58.4,53.2,,43,63.3,328000,284000,372000
adults,Dental health care worker visit,2021,25-34,38.8,,34.7,43.1,34.7,,27.6,42.3,43,,36.9,49.4,289000,258000,319000
adults,Dental health care worker visit,2021,35-44,43.7,,39.1,48.3,42.2,,35.1,49.5,45.2,,38.5,52,287000,257000,316000
adults,Dental health care worker visit,2021,45-54,48.2,,42.5,54.1,43.6,,35,52.5,52.8,,45.5,60,308000,272000,344000
adults,Dental health care worker visit,2021,55-64,53.6,,48.9,58.2,44.9,,38.1,51.9,61.9,,55.7,67.8,319000,291000,347000
adults,Dental health care worker visit,2021,65-74,62.6,,57.3,67.6,61.9,,53.1,70.1,63.2,,56.2,69.8,271000,246000,295000
adults,Dental health care worker visit,2021,75+,53.4,,44.6,62.1,51.6,,42.3,60.8,55,,41.7,67.7,147000,126000,168000
adults,Dental health care worker visit,2021,Māori,39.7,,35,44.5,39.6,,32.2,47.4,39.8,,33.6,46.2,230000,203000,256000
adults,Dental health care worker visit,2021,Pacific,39.2,,31,47.9,46,,32.1,60.3,33.4,,22.6,45.5,104000,82000,126000
adults,Dental health care worker visit,2021,Asian,35.4,,30.3,40.8,30.7,,23.5,38.6,40.5,,34.2,47,221000,189000,252000
adults,Dental health care worker visit,2021,European/Other,53.9,,51.5,56.2,49.9,,46.8,53,57.7,,54.4,60.9,1618000,1543000,1693000
adults,Dental health care worker visit,2021,Quintile 1,54.4,,49.6,59.2,51.9,,45,58.8,57.4,,51.3,63.4,435000,391000,479000
adults,Dental health care worker visit,2021,Quintile 2,55.1,,50.3,59.9,49.1,,41.7,56.4,61.1,,54.7,67.3,457000,415000,499000
adults,Dental health care worker visit,2021,Quintile 3,50.4,,44.5,56.3,45.7,,38.1,53.4,54.5,,48.4,60.6,412000,366000,459000
adults,Dental health care worker visit,2021,Quintile 4,45.5,,41.7,49.4,42.6,,36.5,49,48.2,,43.1,53.2,357000,324000,390000
adults,Dental health care worker visit,2021,Quintile 5,38.2,,34.2,42.3,35.3,,30.2,40.7,40.9,,33.8,48.3,287000,257000,317000
adults,Dental health care worker visit,2021,Non-disabled,49.5,,47.3,51.7,45.9,,42.9,49,53,,50.2,55.9,1811000,1729000,1893000
adults,Dental health care worker visit,2021,Disabled,42.7,,35.5,50.2,38.5,,28.7,49.1,46.4,,36.8,56.3,135000,106000,164000
adults,Only visit dental health care worker for problems,2021,Total,49.2,,47.2,51.3,53.2,,50.1,56.3,45.3,,43,47.7,1961000,1882000,2040000
adults,Only visit dental health care worker for problems,2021,15-24,39.3,,34.1,44.7,40.9,,33.2,49.1,37.6,,29.7,46,252000,219000,284000
adults,Only visit dental health care worker for problems,2021,25-34,63,,58.2,67.7,65.5,,57.7,72.7,60.5,,54.5,66.4,469000,435000,503000
adults,Only visit dental health care worker for problems,2021,35-44,55.1,,50.8,59.4,53.9,,47,60.7,56.4,,50,62.6,362000,334000,390000
adults,Only visit dental health care worker for problems,2021,45-54,48.4,,43.6,53.2,53,,45.5,60.4,43.9,,37.3,50.7,309000,279000,339000
adults,Only visit dental health care worker for problems,2021,55-64,45.8,,40.7,51,53.4,,45.6,61,38.6,,32.3,45.2,273000,244000,302000
adults,Only visit dental health care worker for problems,2021,65-74,41.6,,35.6,47.7,50,,40.7,59.4,33.7,,26.7,41.2,180000,156000,203000
adults,Only visit dental health care worker for problems,2021,75+,42.4,,37.1,47.7,52.4,,43.7,61.1,34.2,,27.6,41.3,116000,99000,133000
adults,Only visit dental health care worker for problems,2021,Māori,66.9,,61.9,71.5,68,,60.2,75.1,65.7,,59.1,71.9,387000,359000,415000
adults,Only visit dental health care worker for problems,2021,Pacific,69.8,,60.5,77.9,63.8,,49.5,76.5,74.9,,63.5,84.2,185000,163000,207000
adults,Only visit dental health care worker for problems,2021,Asian,64.9,,59.9,69.6,67.3,,60.3,73.8,62.2,,54.9,69.2,403000,374000,432000
adults,Only visit dental health care worker for problems,2021,European/Other,42.2,,39.8,44.6,47.1,,43.7,50.5,37.4,,34.6,40.3,1267000,1195000,1339000
adults,Only visit dental health care worker for problems,2021,Quintile 1,37.8,,32,43.8,39,,32.4,46,36.3,,28.8,44.3,302000,257000,347000
adults,Only visit dental health care worker for problems,2021,Quintile 2,43.2,,37.6,48.9,51.1,,42.4,59.7,35.5,,29.4,41.9,360000,315000,404000
adults,Only visit dental health care worker for problems,2021,Quintile 3,46.9,,41.5,52.4,51.7,,45.3,58,42.7,,36.3,49.3,383000,341000,424000
adults,Only visit dental health care worker for problems,2021,Quintile 4,52,,47.2,56.9,57.4,,50.5,64.1,47.1,,41,53.3,407000,371000,444000
adults,Only visit dental health care worker for problems,2021,Quintile 5,67.7,,64.1,71.1,69.6,,64.4,74.5,65.8,,60.7,70.7,510000,479000,540000
adults,Only visit dental health care worker for problems,2021,Non-disabled,48.2,,46,50.3,52.1,,48.8,55.3,44.3,,41.8,46.8,1761000,1684000,1838000
adults,Only visit dental health care worker for problems,2021,Disabled,61.4,,54.4,68.2,67.2,,56.3,76.9,56.4,,48.3,64.3,195000,165000,224000
adults,Unmet need for dental health care due to cost,2021,Total,37,,34.9,39.1,33.1,,30,36.4,40.8,,37.7,43.9,1473000,1393000,1553000
adults,Unmet need for dental health care due to cost,2021,15-24,29.7,,24.9,34.9,25.3,,18.8,32.7,34.5,,28.3,41.1,190000,159000,221000
adults,Unmet need for dental health care due to cost,2021,25-34,51.8,,46.9,56.6,45.2,,37.6,53,58.5,,53.1,63.8,385000,350000,420000
adults,Unmet need for dental health care due to cost,2021,35-44,44.8,,40.5,49.1,40,,32.8,47.5,49.4,,42.9,56,294000,267000,321000
adults,Unmet need for dental health care due to cost,2021,45-54,38.5,,33.2,44,32.9,,25.1,41.5,43.9,,36.6,51.3,246000,213000,278000
adults,Unmet need for dental health care due to cost,2021,55-64,30.7,,26.6,35.1,29,,22.2,36.6,32.3,,26.8,38.2,183000,158000,207000
adults,Unmet need for dental health care due to cost,2021,65-74,28.9,,24.1,34,26.4,,20.6,33,31.1,,23.5,39.6,125000,105000,144000
adults,Unmet need for dental health care due to cost,2021,75+,18.2,,13.8,23.3,20.4,,11.3,32.5,16.4,,10.3,24.2,50000,36000,64000
adults,Unmet need for dental health care due to cost,2021,Māori,50.2,,45,55.4,45.6,,36.9,54.4,54.9,,48.2,61.4,289000,259000,319000
adults,Unmet need for dental health care due to cost,2021,Pacific,45.9,,36.3,55.8,40.5,,26.6,55.6,50.6,,38.1,63.1,122000,98000,146000
adults,Unmet need for dental health care due to cost,2021,Asian,36.1,,30.3,42.2,33,,24.8,42,39.5,,32.5,46.8,225000,190000,260000
adults,Unmet need for dental health care due to cost,2021,European/Other,35.4,,33.1,37.8,32.3,,28.9,35.7,38.5,,35,42.2,1064000,995000,1133000
adults,Unmet need for dental health care due to cost,2021,Quintile 1,28.2,,23.6,33.1,23.4,,17.7,30,33.8,,25.6,42.7,225000,191000,259000
adults,Unmet need for dental health care due to cost,2021,Quintile 2,35,,30.3,39.9,34.5,,27,42.6,35.5,,28.7,42.8,292000,253000,330000
adults,Unmet need for dental health care due to cost,2021,Quintile 3,35.2,,30.4,40.2,34,,26.1,42.7,36.2,,31.3,41.3,288000,249000,327000
adults,Unmet need for dental health care due to cost,2021,Quintile 4,41.5,,37.2,45.9,38.5,,32.2,45.1,44.3,,37.2,51.6,324000,292000,356000
adults,Unmet need for dental health care due to cost,2021,Quintile 5,45.8,,41.5,50.2,36.6,,30.6,42.9,54.6,,49.2,60,345000,314000,375000
adults,Unmet need for dental health care due to cost,2021,Non-disabled,36.4,,34.2,38.6,32.4,,29.1,35.9,40.3,,37.1,43.5,1331000,1253000,1408000
adults,Unmet need for dental health care due to cost,2021,Disabled,44.3,,37.3,51.4,42.8,,32.2,53.8,45.6,,37.9,53.3,140000,115000,165000
children,Unmet need for dental health care due to cost,2021,Total,2.4,,1.5,3.8,2.2,e,0.9,4.4,2.7,,1.4,4.7,22000,12000,32000
children,Unmet need for dental health care due to cost,2021,'1-4,NA,S,NA,NA,0,,NA,NA,NA,S,NA,NA,NA,NA,NA
children,Unmet need for dental health care due to cost,2021,'5-9,1.5,e,0.4,3.8,1.3,e,0.1,4.9,1.7,e,0.2,5.8,5000,0,9000
children,Unmet need for dental health care due to cost,2021,'10-14,5,,2.8,8.3,4.6,e,1.5,10.4,5.4,e,2.6,9.9,17000,8000,26000
children,Unmet need for dental health care due to cost,2021,Māori,2,e,0.6,4.6,2.9,e,0.7,8.1,0.9,e,0.2,2.8,5000,1000,9000
children,Unmet need for dental health care due to cost,2021,Pacific,NA,S,NA,NA,0,,NA,NA,NA,S,NA,NA,NA,NA,NA
children,Unmet need for dental health care due to cost,2021,Asian,1.1,e,0.2,3.4,0.9,e,0.1,3.5,NA,S,NA,NA,2000,0,5000
children,Unmet need for dental health care due to cost,2021,European/Other,2.8,,1.6,4.6,2.3,e,0.7,5.5,3.4,,1.6,6.1,18000,9000,27000
children,Unmet need for dental health care due to cost,2021,Quintile 1,3.4,e,0.9,8.7,5.3,e,1,15.4,NA,S,NA,NA,7000,0,14000
children,Unmet need for dental health care due to cost,2021,Quintile 2,3.3,e,1,7.7,2.5,e,0.2,10.5,4.1,e,0.9,11.1,5000,1000,10000
children,Unmet need for dental health care due to cost,2021,Quintile 3,0.8,e,0.2,2.2,0.8,e,0.1,2.8,0.9,e,0.1,3.5,1000,0,3000
children,Unmet need for dental health care due to cost,2021,Quintile 4,2.6,e,0.7,6.6,NA,S,NA,NA,4.5,e,1.1,12,4000,0,9000
children,Unmet need for dental health care due to cost,2021,Quintile 5,2,e,0.7,4.7,1.7,e,0.1,7.1,2.4,e,0.7,6,4000,1000,7000
children,Dental health care worker visit,2021,Total,67.4,,64.1,70.7,68.4,,63.4,73,66.4,,61.6,71.1,610000,579000,640000
children,Dental health care worker visit,2021,'1-4,41.2,,34.2,48.5,42.3,,31.9,53.2,40,,30.6,49.9,100000,82000,118000
children,Dental health care worker visit,2021,'5-9,76.2,,70.9,80.9,76.7,,67.6,84.3,75.6,,69,81.4,246000,231000,262000
children,Dental health care worker visit,2021,'10-14,77.9,,72.6,82.6,79.8,,73,85.6,75.9,,66.7,83.6,264000,247000,280000
children,Dental health care worker visit,2021,Māori,70.7,,64.7,76.3,66.3,,56.6,75.2,75.7,,68.4,82.1,173000,159000,188000
children,Dental health care worker visit,2021,Pacific,55.1,,42.6,67.2,51.3,,36.7,65.8,59.2,,41.3,75.4,47000,32000,62000
children,Dental health care worker visit,2021,Asian,55.8,,47.7,63.8,58,,44.8,70.4,53.4,,42,64.6,110000,87000,133000
children,Dental health care worker visit,2021,European/Other,71.2,,67.3,74.9,72.9,,66.8,78.4,69.3,,63.8,74.4,453000,418000,488000
children,Dental health care worker visit,2021,Quintile 1,65.8,,55.7,75,74.5,,62.5,84.3,56.7,,41,71.5,133000,114000,151000
children,Dental health care worker visit,2021,Quintile 2,68.9,,60.4,76.6,70,,54.8,82.5,67.9,,55.3,78.9,110000,90000,129000
children,Dental health care worker visit,2021,Quintile 3,70.7,,63.1,77.6,68.4,,57.1,78.3,74.2,,61.6,84.4,127000,104000,150000
children,Dental health care worker visit,2021,Quintile 4,65.2,,57,72.7,62.6,,50.4,73.8,67.3,,56,77.2,111000,89000,132000
children,Dental health care worker visit,2021,Quintile 5,66.9,,59.7,73.5,65.3,,56.6,73.3,68.7,,59.5,76.9,130000,109000,150000
adults,ED visit,2021,Total,16.5,,15.2,17.8,16,,14,18.2,16.9,,15.1,18.9,684000,631000,738000
adults,ED visit,2021,15-24,19.2,,14.8,24.4,18.2,,12,25.8,20.3,,14.7,27,123000,94000,153000
adults,ED visit,2021,25-34,16.9,,13.8,20.4,15,,10.6,20.4,18.9,,14.9,23.4,126000,103000,150000
adults,ED visit,2021,35-44,13.5,,10.5,17.1,14.3,,9.7,20,12.8,,9.4,16.9,89000,69000,110000
adults,ED visit,2021,45-54,14.9,,11.4,19,15.8,,10.6,22.3,14.1,,10.1,18.8,97000,73000,121000
adults,ED visit,2021,55-64,14.2,,10.6,18.4,12.9,,7.8,19.8,15.4,,11,20.7,88000,65000,112000
adults,ED visit,2021,65-74,17.1,,12.9,22.1,15.8,,10.7,22,18.4,,13,24.9,82000,61000,102000
adults,ED visit,2021,75+,21.9,,18,26.1,24,,17.7,31.2,20.1,,15.5,25.4,78000,64000,93000
adults,ED visit,2021,Māori,21.2,,17.7,25,18.5,,13.3,24.6,23.8,,18.5,29.7,129000,107000,150000
adults,ED visit,2021,Pacific,17.7,,11.4,25.6,10.8,e,4,22.4,23.4,,14,35.2,48000,30000,67000
adults,ED visit,2021,Asian,12.6,,9.5,16.2,16.2,,11,22.6,8.7,,5.8,12.4,79000,59000,99000
adults,ED visit,2021,European/Other,16.7,,15.1,18.4,15.9,,13.7,18.4,17.5,,15.4,19.7,525000,474000,576000
adults,ED visit,2021,Quintile 1,13,,9.4,17.3,10.1,,5.9,15.8,16.4,,12,21.6,106000,74000,137000
adults,ED visit,2021,Quintile 2,14.1,,11.4,17.1,13.6,,9.4,18.7,14.5,,10.5,19.4,119000,97000,142000
adults,ED visit,2021,Quintile 3,15.4,,12.1,19.2,16.9,,11.6,23.4,14.1,,10.8,18,129000,100000,158000
adults,ED visit,2021,Quintile 4,20.5,,17.5,23.8,19.7,,15.2,24.8,21.2,,16.8,26.2,172000,144000,200000
adults,ED visit,2021,Quintile 5,19.5,,16.4,22.8,20.8,,16.8,25.2,18.2,,14,23.1,159000,135000,182000
adults,ED visit,2021,Non-disabled,15.1,,13.7,16.5,15,,13,17.3,15.2,,13.3,17.1,572000,520000,623000
adults,ED visit,2021,Disabled,31.3,,26.3,36.7,27.5,,20,36,34.7,,27.1,42.8,113000,93000,132000
children,ED visit,2021,Total,15.9,,13.4,18.6,16,,12.6,19.9,15.7,,12.5,19.3,153000,129000,177000
children,ED visit,2021,0-4,23.6,,18.7,29,23.8,,17,31.7,23.3,,16.5,31.4,72000,57000,87000
children,ED visit,2021,'5-9,14.5,,10.5,19.4,14,,8.5,21.2,15.1,,9.2,22.7,47000,33000,61000
children,ED visit,2021,'10-14,10.2,,7.4,13.5,11,,7,16.3,9.3,,5.6,14.2,34000,25000,44000
children,ED visit,2021,Māori,16.9,,12.5,22.1,18.4,,11.6,27.1,15.4,,10.1,22,45000,33000,57000
children,ED visit,2021,Pacific,16.3,,9.9,24.7,15.1,e,4.7,32.9,17.5,,8.6,30.1,15000,8000,23000
children,ED visit,2021,Asian,16.7,,11.8,22.6,15.2,,9.5,22.5,18.3,,10.5,28.6,36000,24000,48000
children,ED visit,2021,European/Other,15.4,,12.5,18.6,15.5,,11.6,20.1,15.2,,11.7,19.4,103000,84000,121000
children,ED visit,2021,Quintile 1,13.2,,8.8,18.8,11.2,,5.9,18.9,15.2,,8,25.1,28000,18000,38000
children,ED visit,2021,Quintile 2,13.5,,8.6,19.9,16.5,,8.6,27.6,10.7,,5.7,17.8,23000,14000,32000
children,ED visit,2021,Quintile 3,17.7,,11.4,25.7,16.3,,8.6,26.9,19.9,,10.5,32.6,34000,21000,47000
children,ED visit,2021,Quintile 4,17.6,,12,24.5,18,,10.6,27.9,17.3,,10,27,33000,22000,44000
children,ED visit,2021,Quintile 5,17.1,,12.6,22.4,18.4,,11.7,26.7,15.6,,10.2,22.4,36000,25000,46000
adults,Was referred to a specialist,2021,Total,53.6,,51.8,55.4,52.2,,49.1,55.3,55,,52.3,57.7,2228000,2154000,2302000
adults,Was referred to a specialist,2021,15-24,42.1,,34.9,49.5,39.1,,29.6,49.2,45.3,,35.4,55.5,270000,225000,315000
adults,Was referred to a specialist,2021,25-34,41.6,,36.9,46.4,34,,27.5,41,49.3,,43,55.7,310000,276000,344000
adults,Was referred to a specialist,2021,35-44,51.6,,47.4,55.7,47.7,,41,54.4,55.5,,49.6,61.2,341000,314000,367000
adults,Was referred to a specialist,2021,45-54,59.4,,55,63.7,58.5,,51,65.7,60.3,,54,66.3,386000,359000,414000
adults,Was referred to a specialist,2021,55-64,61.4,,56.8,66,63.1,,54.7,70.9,59.9,,53.4,66.2,383000,355000,411000
adults,Was referred to a specialist,2021,65-74,67.1,,62,71.9,72.9,,64.5,80.2,61.7,,54.5,68.4,319000,297000,342000
adults,Was referred to a specialist,2021,75+,61.1,,56,66,68.6,,60.2,76.2,55,,45.2,64.5,219000,202000,237000
adults,Was referred to a specialist,2021,Māori,53,,48.4,57.6,53.8,,46.3,61.1,52.3,,46,58.5,321000,294000,348000
adults,Was referred to a specialist,2021,Pacific,35.6,,27.3,44.6,34.8,,21.3,50.4,36.3,,25,48.8,97000,75000,120000
adults,Was referred to a specialist,2021,Asian,38.6,,33.9,43.5,32.7,,25.3,40.7,45,,38.8,51.2,243000,214000,272000
adults,Was referred to a specialist,2021,European/Other,58.3,,56,60.5,57.6,,53.6,61.5,58.9,,55.6,62.1,1830000,1758000,1902000
adults,Was referred to a specialist,2021,Quintile 1,60.6,,55.6,65.4,60.7,,53.2,67.9,60.4,,54.6,66,493000,451000,536000
adults,Was referred to a specialist,2021,Quintile 2,54,,49.4,58.5,51.1,,42.5,59.7,56.7,,51.9,61.5,460000,421000,499000
adults,Was referred to a specialist,2021,Quintile 3,54.7,,49.9,59.4,57.3,,50,64.5,52.3,,45.8,58.8,456000,411000,501000
adults,Was referred to a specialist,2021,Quintile 4,51.1,,47.1,55.1,47.5,,41.6,53.4,54.3,,48.6,60,428000,389000,467000
adults,Was referred to a specialist,2021,Quintile 5,47.9,,43.8,52,43.5,,37,50.2,52,,46.3,57.6,391000,355000,426000
adults,Was referred to a specialist,2021,Non-disabled,52.5,,50.7,54.4,51.3,,48,54.6,53.7,,50.9,56.5,1989000,1917000,2060000
adults,Was referred to a specialist,2021,Disabled,65.4,,59.5,70.9,62.9,,53.9,71.2,67.5,,59.6,74.8,235000,202000,268000
adults,Unmet need for specialist due to cost (total population),2021,Total,1.9,,1.4,2.6,1.4,,0.7,2.4,2.5,,1.8,3.5,81000,58000,104000
adults,Unmet need for specialist due to cost (total population),2021,15-24,3.1,e,1.3,5.9,2.8,e,0.4,9.1,3.4,e,1.3,7.1,20000,6000,33000
adults,Unmet need for specialist due to cost (total population),2021,25-34,3.9,,2.1,6.5,2.2,e,0.7,5.4,5.6,,2.9,9.8,29000,14000,44000
adults,Unmet need for specialist due to cost (total population),2021,35-44,1.6,e,0.8,2.9,1.3,e,0.3,3.7,1.8,e,0.7,3.8,10000,4000,17000
adults,Unmet need for specialist due to cost (total population),2021,45-54,1.2,e,0.5,2.4,NA,S,NA,NA,2,e,0.8,4.2,8000,2000,13000
adults,Unmet need for specialist due to cost (total population),2021,55-64,1.1,e,0.3,2.8,0.7,e,0,3.2,1.6,e,0.3,4.6,7000,1000,14000
adults,Unmet need for specialist due to cost (total population),2021,65-74,0.8,e,0.2,2,0.8,e,0,3.5,0.8,e,0.1,2.2,4000,0,7000
adults,Unmet need for specialist due to cost (total population),2021,75+,0.9,e,0.2,2.8,1,e,0,4.8,0.9,e,0.1,3.5,3000,0,7000
adults,Unmet need for specialist due to cost (total population),2021,Māori,3.7,,1.8,6.7,3.5,e,0.7,10.1,4,e,1.8,7.3,23000,9000,36000
adults,Unmet need for specialist due to cost (total population),2021,Pacific,1.3,e,0.1,5.3,NA,S,NA,NA,2.2,e,0.1,9.7,4000,0,9000
adults,Unmet need for specialist due to cost (total population),2021,Asian,1.2,e,0.4,2.7,1,e,0.1,4,1.5,e,0.5,3.5,8000,1000,14000
adults,Unmet need for specialist due to cost (total population),2021,European/Other,2.2,,1.6,3,1.5,e,0.7,2.8,2.8,,1.9,4.1,69000,47000,91000
adults,Unmet need for specialist due to cost (total population),2021,Quintile 1,2.1,e,0.8,4.4,1.8,e,0.2,6.7,2.4,e,0.9,5.1,17000,4000,30000
adults,Unmet need for specialist due to cost (total population),2021,Quintile 2,2.2,,1.1,3.7,2.4,e,0.9,5,2,e,0.7,4.4,18000,8000,29000
adults,Unmet need for specialist due to cost (total population),2021,Quintile 3,1.3,e,0.6,2.5,0.7,e,0.1,3,1.9,e,0.7,4.1,11000,4000,18000
adults,Unmet need for specialist due to cost (total population),2021,Quintile 4,2.2,e,0.8,4.8,1.4,e,0.1,5.5,3,e,1.4,5.8,19000,4000,33000
adults,Unmet need for specialist due to cost (total population),2021,Quintile 5,1.9,,1,3.2,0.4,e,0.1,1.4,3.3,e,1.6,5.8,15000,7000,24000
adults,Unmet need for specialist due to cost (total population),2021,Non-disabled,1.9,,1.3,2.6,1.4,,0.7,2.5,2.4,,1.6,3.4,71000,49000,93000
adults,Unmet need for specialist due to cost (total population),2021,Disabled,2.7,,1.3,5,1.5,e,0.1,5.6,3.9,e,1.7,7.3,10000,4000,16000
adults,Unmet need for specialist due to cost (of those referred),2021,Total,3.6,,2.7,4.9,2.6,e,1.3,4.6,4.6,,3.2,6.3,81000,58000,104000
adults,Unmet need for specialist due to cost (of those referred),2021,15-24,7.3,e,3.3,13.6,7.1,e,1.1,21.9,7.5,e,2.9,15.4,20000,6000,33000
adults,Unmet need for specialist due to cost (of those referred),2021,25-34,9.5,,5.2,15.4,6.6,e,2,15.2,11.5,,6,19.4,29000,14000,44000
adults,Unmet need for specialist due to cost (of those referred),2021,35-44,3.1,,1.5,5.5,2.8,e,0.6,7.8,3.3,e,1.4,6.6,10000,4000,17000
adults,Unmet need for specialist due to cost (of those referred),2021,45-54,2,e,0.8,3.9,NA,S,NA,NA,3.4,e,1.3,6.9,8000,2000,13000
adults,Unmet need for specialist due to cost (of those referred),2021,55-64,1.8,e,0.6,4.4,1.1,e,0,5.1,2.6,e,0.5,7.5,7000,1000,14000
adults,Unmet need for specialist due to cost (of those referred),2021,65-74,1.1,e,0.3,2.9,1,e,0.1,4.8,1.2,e,0.2,3.6,4000,0,7000
adults,Unmet need for specialist due to cost (of those referred),2021,75+,1.6,e,0.3,4.6,1.4,e,0.1,6.9,1.7,e,0.2,6.5,3000,0,7000
adults,Unmet need for specialist due to cost (of those referred),2021,Māori,7.1,,3.5,12.5,6.6,e,1.4,18.1,7.6,e,3.6,13.8,23000,9000,36000
adults,Unmet need for specialist due to cost (of those referred),2021,Pacific,3.7,e,0.3,14.5,NA,S,NA,NA,6,e,0.3,25.7,4000,0,9000
adults,Unmet need for specialist due to cost (of those referred),2021,Asian,3.2,e,1.1,6.9,3,e,0.2,11.6,3.3,e,1,7.9,8000,1000,14000
adults,Unmet need for specialist due to cost (of those referred),2021,European/Other,3.8,,2.7,5.2,2.7,,1.3,4.8,4.8,,3.2,7,69000,47000,91000
adults,Unmet need for specialist due to cost (of those referred),2021,Quintile 1,3.5,e,1.3,7.4,3,e,0.3,10.9,4,e,1.4,8.5,17000,4000,30000
adults,Unmet need for specialist due to cost (of those referred),2021,Quintile 2,4,,2.1,6.9,4.6,e,1.8,9.4,3.5,e,1.2,7.8,18000,8000,29000
adults,Unmet need for specialist due to cost (of those referred),2021,Quintile 3,2.5,e,1.1,4.6,1.3,e,0.1,5.1,3.6,e,1.3,7.9,11000,4000,18000
adults,Unmet need for specialist due to cost (of those referred),2021,Quintile 4,4.4,e,1.6,9.3,2.9,e,0.2,11.4,5.6,e,2.5,10.6,19000,4000,33000
adults,Unmet need for specialist due to cost (of those referred),2021,Quintile 5,4,,2.1,6.6,1,e,0.2,3.2,6.3,,3.2,10.9,15000,7000,24000
adults,Unmet need for specialist due to cost (of those referred),2021,Non-disabled,3.6,,2.5,4.9,2.7,,1.3,4.8,4.4,,3,6.3,71000,49000,93000
adults,Unmet need for specialist due to cost (of those referred),2021,Disabled,4.2,e,2.1,7.6,2.4,e,0.2,8.9,5.7,e,2.6,10.7,10000,4000,16000
adults,Unmet need for specialist due to dislike of treatment (total population),2021,Total,0.5,,0.3,0.8,0.3,e,0.1,0.7,0.6,e,0.3,1.1,20000,11000,29000
adults,Unmet need for specialist due to dislike of treatment (total population),2021,15-24,0.8,e,0.2,2.2,0.3,e,0,1.2,1.4,e,0.2,4.3,5000,0,11000
adults,Unmet need for specialist due to dislike of treatment (total population),2021,25-34,0.6,e,0.1,1.9,NA,S,NA,NA,0.6,e,0,2.9,4000,0,10000
